נושא,שאלה,תשובה
מסיבות ומקומות בילוי,אילו חופים מומלצים להעביר בהם את היום בצד המזרחי (ארוגם ביי)?,"בייבי פויינט, פינאטס-פארם ו-וויסקי פויינט - שלושת החופים מציעים מסעדות במרחק הליכה וחוף להעביר בו את הזמן"
מסיבות ומקומות בילוי,אילו חופים מומלצים להעביר בהם את היום בצד הדרומי?,"אונה-ווטונה, קטלואה, קבלנה, אהנגמה (מול בית הקפה ״קקטוס״), מידיגמה, ווליגמה, מריסה (סיקרט ביצ׳) והירקטיה (בלו-ביצ׳)"
מסיבות ומקומות בילוי,היכן מומלץ לראות שקיעה בצד המזרחי (ארוגם ביי)?,אלפנט רוק.
מסיבות ומקומות בילוי,היכן מומלץ לראות שקיעה בצד הדרומי?,קוקונט-היל במריסה ושאר החופים.
מסיבות ומקומות בילוי,איפה יש מסיבות במוצש בצד הדרומי?,Terra resort
השכרת אופנועים/רכבים,איזה כלי תחבורה אפשר להשכיר בסרי לנקה?,בסרי לנקה תוכלו להשכיר אופנוע/רכב או טוקטוק.
השכרת אופנועים/רכבים,כמה עולה להשכיר כלי תחבורה בסרי לנקה?,בסכומים משתנים לפי משך ההשכרה וכלי התחבורה אותו תרצו לשכור.
השכרת אופנועים/רכבים,מה חשוב לזכור בהשכרת רכב בסרי לנקה?,לעולם לא להשאיר את הדרכון עצמו אצל המשכיר - להשאיר רק צילום דרכון.
השכרת אופנועים/רכבים,איך מוציאים רישיון בינלאומי?,"תחפשו בגוגל ""חנויות אופטיקה רשיון בינלאומי"" ותבקשו מבן משפחה / חבר שילך להוציא בשבילכם. אתם תצטרכו להגדיר את אותו אחד שעושה את זה בשבילכם כמיופה כוח והוא יוכל להוציא לכם את הרשיון הבינלאומי."
השכרת אופנועים/רכבים,האם חייב רשיון לאופנוע בסרי לנקה?,החוק בסרי לנקה הוא שחייב רשיון אופנוע או רשיון נהיגה מעל 10 שנים. שני סוגי הרשיונות צריכים להיות בינלאומיים.
השכרת אופנועים/רכבים,כמה עולה להשכיר אופנוע בסרי לנקה?,המחירים של השכרת אופנוע / קטנוע נעים בין 1000 ל2000 רופי ליום השכרה.
השכרת אופנועים/רכבים,מה לגבי קטנוע עם מתקן לגלשן בסרי לנקה?,"אם אתם מחפשים קטנוע עם מתקן לגלשן, קחו בחשבון שהדבר לא חוקי בסרי לנקה ואתם מסתכנים בדוח כספי."
רפואה,מה רמת שירותי הרפואה בסרי לנקה?,בסרי לנקה קיימים כל סוגי שירותי הרפואה ובקולומבו (עיר הבירה) תוכלו למצוא בתי חולים בסטנדרט מערבי אפילו יותר מהארץ.
רפואה,מהם בתי החולים המומלצים בקולומבו?,"1. Lanka hospitals
2. Asiri central"
רפואה,מהו בית חולים מומלץ בצד הדרומי של סרי לנקה?,בצד הדרומי יש בתי חולים פרטיים וציבוריים. בית חולים מומלץ בצד הדרומי - ASIRI במטרה או בגאלה.
רפואה,מה לעשות במקרה של פציעה בסרי לנקה?,"1. להפעיל את הביטוח
2. לפנות למרפאה"
סלולר ותקשורת,איפה כדאי לעשות סים בסרי לנקה?,"הכי נוח ויקר זה לעשות בשדה התעופה. כשיורדים מהמטוס ומתקדמים לכיוון היציאה תוכלו לראות דוכן בצבע תכלת של חברת Mobitel. זה הסים שאנחנו ממליצים עליו.
האפשרות השניה והיותר זולה היא לעשות באחת החנויות ביעד שאליו אתם נוסעים - בכל חנות שיש לה שלט של אחת מחברות הסלולר , SLT, Mobitel , Hutch או Dialog"
סלולר ותקשורת,כמה עולה סים בסרי לנקה?,סים עולה 1400 רופי סרי לנקי ל20 GB לחודש ימים וכמובן יש גם 30 GB ויותר ביותר כסף. בעיירות החוף תוכלו למצוא ביותר זול (30 gb ב900 רופי)
סלולר ותקשורת,מה לעשות אם אין גישה לאתר אינטרנט מסוים בסרי לנקה?,"בגלל שאתם נמצאים בחו״ל, אין גישה לחלק מאתרי האינטרנט והאפליקציות - כדי להכנס לאתר שאתם רוצים תצטרכו להוריד אפליקציה של VPN ולהכנס."
סלולר ותקשורת,איך לדעת את המספר של סים מחברת דיאלוג בסרי לנקה?,אם יש לכם דיאלוג ואתם רוצים לדעת מה המספר שלכם יש לחייג #132# שלוחה 2.
סלולר ותקשורת,האם הדוכנים לעשות סים בשדה פתוחים גם בלילה?,הדוכנים פתוחים 24 שעות ביממה
כביסה,כמה עולה כביסה בסרי לנקה?,מחירי הכביסה בדרך כלל מתחילים מ600 רופי לקילו כביסה.
הדרכת טיולים,למה כדאי לשכור מדריך טיולים מקומי בסרי לנקה?,"אם אתם רוצים מדריך מקומי שיקח אתכם לכל המקומות השווים שלא בטוח שהייתם מגיעים אליהם עצמאית וידאג להתאים את הטיול לקצב, לתקופת הזמן ולסגנון שלכם."
,,
